run,scenario,backend,frames,measured_seconds,mean_frame_ms,p50_frame_ms,p95_frame_ms,p99_frame_ms,frames_per_second,width,height,screen_class,jvm_cpu_percent,allocation_bytes_per_second,resident_bytes,packets_sent,packet_bytes_sent,packets_received,packet_bytes_received,jfr_file,screenshot_file
1,machine-controller-1024,Vulkan,10405,30.000859,1.947762,1.741000,3.422000,4.763000,346.823408,1280,720,com.cosmocraft.trading_cells.feature.machinecontroller.adapters.output.client.MachineControllerScreen,2.117645,162723640.146,2130569216,1087,9605,1087,9605,run-1\client.jfr,run-1\result\capture.png
2,machine-controller-1024,Vulkan,10921,30.002801,1.847397,1.642700,3.337600,4.723300,363.999343,1280,720,com.cosmocraft.trading_cells.feature.machinecontroller.adapters.output.client.MachineControllerScreen,1.899732,170526166.540,1987706880,849,7760,849,7760,run-2\client.jfr,run-2\result\capture.png
3,machine-controller-1024,Vulkan,11229,30.003526,1.781408,1.585200,3.172300,4.473200,374.256016,1280,720,com.cosmocraft.trading_cells.feature.machinecontroller.adapters.output.client.MachineControllerScreen,1.949057,174353874.808,1923856384,1024,8621,1024,8621,run-3\client.jfr,run-3\result\capture.png
