backend,runs,mean_frame_ms,p50_frame_ms,p95_frame_ms,p99_frame_ms,frames_per_second,jvm_cpu_percent,allocation_bytes_per_second,resident_bytes,changed_pixels_gt_2,max_channel_delta
opengl,1,1.874298,1.538600,3.187200,4.050800,416.351462,5.855719,59494603.729,1290252288,0,0
vulkan,1,1.160796,0.999600,1.873000,2.377400,575.619773,6.708051,74245381.546,1453090816,44,12
