
 Version: 2.1
 Chunks: 1
 Start: 2026-09-04 14:34:44 (UTC)
 Duration: 30 s

 Event Type                              Count  Size (bytes) 
 jdk.G1HeapRegionInformation                 0             0
 jdk.ZYoungGarbageCollection                 0             0
 jdk.ZOldGarbageCollection                   0             0
 jdk.ZAllocationStall                        0             0
 jdk.ZPageAllocation                         0             0
 jdk.ZRelocationSet                          0             0
 jdk.ZRelocationSetGroup                     0             0
 jdk.ZStatisticsCounter                      0             0
 jdk.SecurityProviderService                 0             0
 jdk.ZStatisticsSampler                      0             0
 jdk.ZThreadPhase                            0             0
 jdk.ZUncommit                               0             0
 jdk.ShenandoahHeapRegionStateChange         0             0
 jdk.ShenandoahHeapRegionInformation         0             0
 jdk.ShenandoahEvacuationInformation         0             0
 jdk.Flush                                   0             0
 jdk.HeapDump                                0             0
 jdk.FinalizerStatistics                     0             0
 jdk.JavaAgent                               0             0
 jdk.NativeAgent                             0             0
 jdk.X509Validation                          0             0
 jdk.DeprecatedInvocation                    0             0
 jdk.X509Certificate                         0             0
 jdk.FileForce                               0             0
 jdk.TLSHandshake                            0             0
 jdk.SocketWrite                             0             0
 jdk.SocketRead                              0             0
 jdk.ThreadSleep                             0             0
 minecraft.ChunkGeneration                   0             0
 minecraft.ChunkRegionRead                   0             0
 minecraft.PacketReceived                    0             0
 jdk.Deserialization                         0             0
 minecraft.PacketSent                        0             0
 minecraft.NetworkSummary                    0             0
 jdk.JavaExceptionThrow                      0             0
 minecraft.StructureGeneration               0             0
 minecraft.LoadWorld                         0             0
 jdk.ProcessStart                            0             0
 jdk.SecurityPropertyModification            0             0
 jdk.SerializationMisdeclaration             0             0
 jdk.VirtualThreadStart                      0             0
 jdk.VirtualThreadEnd                        0             0
 jdk.VirtualThreadSubmitFailed               0             0
 jdk.InitialSecurityProperty                 0             0
 jdk.MethodTrace                             0             0
 jdk.MethodTiming                            0             0
 jdk.ContainerConfiguration                  0             0
 jdk.ContainerCPUUsage                       0             0
 jdk.ContainerCPUThrottling                  0             0
 jdk.ContainerMemoryUsage                    0             0
 jdk.ContainerIOUsage                        0             0
